date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2013/3/22,2613.2,2625.8,2607.6,2634.8,702983,70726,0.823699296
2013/3/25,2630.2,2622.6,2609,2652.8,735213,71941,0.823699296
2013/3/26,2617,2572.4,2553,2617.4,813445,64823,0.823699296
2013/3/27,2578.8,2573.6,2562,2617.8,854050,65040,0.823699296
2013/3/28,2566,2506.8,2492.6,2566.8,733851,64001,0.823699296
2013/3/29,2501.4,2483.8,2482,2515.4,604019,61713,0.823699296
2013/4/1,2481.2,2483.2,2471.2,2512.2,686779,62268,0.823699296
2013/4/2,2490,2505.8,2467,2529,897398,61450,0.823699296
2013/4/3,2502.2,2478.6,2474.4,2515,779825,61395,0.823699296
2013/4/8,2450,2463.8,2435.2,2478,657765,65969,0.823699296
2013/4/9,2473,2480.6,2471,2511.6,823777,60580,0.823699296
2013/4/10,2485.6,2481,2464,2491.2,659770,58702,0.823699296
2013/4/11,2493.8,2472.4,2465.4,2512,662650,62113,0.823699296
2013/4/12,2474.4,2461.8,2454,2482,578596,53184,0.823699296
2013/4/15,2442.8,2441.2,2422.6,2463.8,611821,49788,0.823699296
2013/4/16,2426.4,2450,2417.2,2457.6,675784,42907,0.823699296
2013/4/17,2457,2454,2428.2,2459.6,539176,26707,0.823699296
2013/4/18,2436.2,2459.8,2424.2,2479.6,232529,11904,0.823699296
2013/4/19,2463.6,2528.2,2463.4,2530.8,65061,0,0.823699296
2013/4/22,2526.8,2531.8,2521,2543,470977,60817,0.821424961
2013/4/23,2534.8,2448.4,2440.8,2540.8,683054,55897,0.821424961
2013/4/24,2459.6,2492.6,2443.6,2514.4,815775,55373,0.821424961
2013/4/25,2488.2,2460.8,2450.4,2507.8,948447,56743,0.821424961
2013/4/26,2469.8,2439.8,2430.6,2490,723431,48592,0.821424961
2013/5/2,2426,2439.4,2415,2446.6,548723,49430,0.821424961
2013/5/3,2451.6,2486.6,2447.2,2521.2,817425,51681,0.821424961
2013/5/6,2503.8,2509.2,2492.4,2527.8,704012,52686,0.821424961
2013/5/7,2509,2525,2495,2531.6,664753,52751,0.821424961
2013/5/8,2533.6,2542.8,2525.6,2563,705759,59097,0.821424961
2013/5/9,2538,2520.8,2502.2,2542,645378,52911,0.821424961
2013/5/10,2511.8,2541.4,2508,2545.6,725644,50888,0.821424961
2013/5/13,2541,2514.6,2505.8,2544.8,594826,43760,0.821424961
2013/5/14,2510,2472.2,2455.6,2515.6,314353,73576,0.823783683
2013/5/15,2480,2471,2466.6,2488,463073,81414,0.823783683
2013/5/16,2474.4,2525,2453,2529,863420,84886,0.823783683
2013/5/17,2525,2572.6,2519.2,2585.6,756828,101324,0.823783683
2013/5/20,2579.2,2593.8,2574.4,2617,696900,99789,0.823783683
2013/5/21,2593.6,2599.6,2582.4,2607,582493,102812,0.823783683
2013/5/22,2602,2602,2590.6,2616.8,720708,102876,0.823783683
2013/5/23,2589.6,2570.8,2562,2613.8,809119,101710,0.823783683
2013/5/24,2583.8,2588,2558.8,2605,849492,95847,0.823783683
2013/5/27,2578,2573.6,2572,2602,635012,95491,0.823783683
2013/5/28,2573.6,2633.2,2565.8,2634.8,812248,100064,0.823783683
2013/5/29,2638,2627.2,2623,2656,600387,93685,0.823783683
2013/5/30,2625.6,2625,2612,2637.2,590059,94193,0.823783683
2013/5/31,2633.6,2600,2588,2639.4,662696,87934,0.823783683
2013/6/3,2604.4,2597,2589,2620,579487,89068,0.823783683
2013/6/4,2597,2562.6,2550.2,2599.8,670940,87583,0.823783683
2013/6/5,2564.6,2553.8,2544.2,2567.4,470589,87691,0.823783683
2013/6/6,2548,2534.8,2530.4,2559,579967,87686,0.823783683
2013/6/7,2536.2,2476.4,2467,2539.6,603987,79190,0.823783683
2013/6/13,2459.4,2383.6,2365.2,2459.8,569989,72904,0.823783683
2013/6/14,2394,2395.6,2386.2,2409,448656,62463,0.823783683
2013/6/17,2406.4,2396.2,2385.8,2421,513790,52857,0.823783683
2013/6/18,2406,2405.2,2365.2,2414.2,525066,41914,0.823783683
2013/6/19,2404,2395,2350.4,2404,400730,27751,0.823783683
2013/6/20,2380,2329.8,2324,2384,115623,13893,0.823783683
2013/6/21,2291,2296.4,2263.2,2315,768198,84649,0.828406088
2013/6/24,2290.2,2133,2131,2291.4,891789,91287,0.828406088
2013/6/25,2129.8,2112.8,1996,2147.8,1264711,73401,0.828406088
2013/6/26,2125,2122.4,2093.6,2151,954148,69358,0.828406088
2013/6/27,2134.6,2119,2095,2180,1050165,70151,0.828406088
2013/6/28,2116,2168.6,2098,2217.8,1253068,59806,0.828406088
2013/7/1,2158,2163.4,2106.8,2173.8,932091,59268,0.828406088
2013/7/2,2170,2161.4,2133,2173.4,889217,59207,0.828406088
2013/7/3,2150.4,2146,2109.6,2162.6,936496,60286,0.828406088
2013/7/4,2140.6,2171,2122.2,2203,1118878,61103,0.828406088
2013/7/5,2180,2173.6,2170.2,2205,881296,62511,0.828406088
2013/7/8,2145,2128.8,2104,2165,872452,60003,0.828406088
2013/7/9,2135,2127.2,2122.8,2144,640361,59456,0.828406088
2013/7/10,2117,2204,2112,2207,1026508,62035,0.828406088
2013/7/11,2215,2321,2211,2360.8,1176960,51385,0.828406088
2013/7/12,2318,2277,2255,2325.6,776084,42672,0.828406088
2013/7/15,2297.6,2291.4,2266,2342,934391,40050,0.828406088
2013/7/16,2287.6,2305,2261.2,2311.8,833735,34210,0.828406088
2013/7/17,2295.4,2282.4,2275.6,2325.8,712757,22596,0.828406088
2013/7/18,2275.6,2243.4,2233.2,2282.6,218387,11648,0.828406088
2013/7/19,2251.8,2217,2216.8,2257.8,70856,0,0.828406088
2013/7/22,2140,2168,2124,2181.4,852452,59841,0.852239581
