date,Open,High,Low,Close,Volume,OpenInterest,adj_fct
2016/4/13,6300,6427.8,6283.6,6306,14248,11554,1
2016/4/14,6366,6385.8,6316,6381.2,8451,6020,1
2016/4/15,6376.2,6391.8,6329.2,6376.6,4898,0,1
2016/4/18,6152,6160,6026,6093.2,14073,20573,1
2016/4/19,6160.2,6174.2,6056.2,6102.6,13211,21188,1
2016/4/20,6148.8,6161.8,5721.2,5791.2,17516,22380,1
2016/4/21,5800.4,5916,5767,5788.4,14947,22584,1
2016/4/22,5741,5850,5727.8,5850,14142,22702,1
2016/4/25,5808.8,5824.2,5686.6,5815.4,14091,22620,1
2016/4/26,5825.6,5896.8,5765.6,5885,14340,23019,1
2016/4/27,5897.6,5934.4,5834,5865.8,13355,23047,1
2016/4/28,5881.4,5884.8,5725.4,5833,15156,23920,1
2016/4/29,5809.8,5890,5798,5844.8,13060,23272,1
2016/5/3,5863,6090,5800.6,6085,15722,24047,1
2016/5/4,6060,6110,6040,6062.8,11968,23406,1
2016/5/5,6053.8,6138,6042,6132.8,12362,23672,1
2016/5/6,6111,6156.4,5883,5887.8,16908,23189,1
2016/5/9,5830,5837,5633.2,5652.8,15386,22198,1
2016/5/10,5679,5705.6,5636.6,5650,12254,21172,1
2016/5/11,5711,5749.8,5613.6,5640.4,14334,20300,1
2016/5/12,5600,5682,5505.6,5670,14964,19664,1
2016/5/13,5649,5766,5620,5659.2,13460,18410,1
2016/5/16,5641,5785,5621,5772.2,13276,16188,1
2016/5/17,5784.2,5827,5715.2,5779.2,13270,13455,1
2016/5/18,5701,5730,5561.8,5632.8,11637,10121,1
2016/5/19,5630,5739.8,5625.4,5641.2,8468,5095,1
2016/5/20,5431,5586.2,5422.6,5562.8,15262,25881,1
2016/5/23,5586.6,5685,5586.6,5635.2,13848,26225,1
2016/5/24,5633.8,5646.4,5541.8,5598.6,14551,26768,1
2016/5/25,5665,5680,5550,5556,14251,26991,1
2016/5/26,5551,5627.8,5462.4,5627.8,17065,28030,1
2016/5/27,5617.8,5664,5574,5630.6,14549,27494,1
2016/5/30,5589,5676.8,5520,5611,15755,27527,1
2016/5/31,5630,5927.8,5630,5923.2,18925,27245,1
2016/6/1,5925,5965.6,5892,5899.8,13944,25970,1
2016/6/2,5908,5946.8,5896.2,5937.8,12429,25030,1
2016/6/3,5950,6019.4,5908.4,6003.6,15181,24545,1
2016/6/6,6020,6037.4,5956.2,5974,12536,23226,1
2016/6/7,5983,6017.6,5947.4,6016.6,12039,22547,1
2016/6/8,5998,6027,5931.6,5995.8,13144,21343,1
